text,sentiment,text_clean
many expenses saved merger logo slogan audit server software registration membership annual contract charges security services etc reduce duplication branches atm nearby areas increase brand value rank credibility ,-1,many expenses saved merger logo slogan audit server software registration membership annual contract charges security services etc reduce duplication branches atm nearby areas increase brand value rank credibility
modi has not left the tea cups railways also and the deep slumber and what doing who also calls himself chowkidaar poor fellow what can hes mere puppet ,-1,modi has not left the tea cups railways also and the deep slumber and what doing who also calls himself chowkidaar poor fellow what can hes mere puppet
among those typhoon modis regime fully revolution destroying until may june 232019 behind general election,-1,among those typhoon modis regime fully revolution destroying until may june 232019 behind general election
"why did you get that injunctin against the news agencies discuss your wife beating abuse allegations
why did you have your hindutva goons have that woman quit twitter once modi loses this election you will booked",-1,why did you get that injunctin against the news agencies discuss your wife beating abuse allegations why did you have your hindutva goons have that woman quit twitter once modi loses this election you will booked
case westminster court denies bail nirav modi hear case next april judge says sufficient ground for giving conditional bail nirav modi custody for atleast weeks nirav denied bail due insufficient surety amount and destroying evidence ,-1,case westminster court denies bail nirav modi hear case next april judge says sufficient ground for giving conditional bail nirav modi custody for atleast weeks nirav denied bail due insufficient surety amount and destroying evidence
"
pappuji can you explain what you mean remonitise what modi demonitised",-1,pappuji can you explain what you mean remonitise what modi demonitised
who trying take the side and trying find support for his point view failed miserably and ended pointing finger scientists who shared the fact about disastrous upa and decisive modi,-1,who trying take the side and trying find support for his point view failed miserably and ended pointing finger scientists who shared the fact about disastrous upa and decisive modi
the main reason behind formation aap was the demand for lokpal the center the purpose served kejriwal free dissolve his party but seems now the goal post has changed now its modi aaptards should know that people are tired hearing their filmy rhetorics,-1,the main reason behind formation aap was the demand for lokpal the center the purpose served kejriwal free dissolve his party but seems now the goal post has changed now its modi aaptards should know that people are tired hearing their filmy rhetorics
modi disgusting human,-1,modi disgusting human
have never seen ministers russia china japan addressing the nation for launching shooting down the satellites modi terribly mistake ,-1,have never seen ministers russia china japan addressing the nation for launching shooting down the satellites modi terribly mistake
hate rude but the day you choose support bjp will quit supporting bjp and lose faith modi filthy animal like you would never support personparty unless theres something terribly wrong with himtum allah vasta dont ever even jest say support modi ,-1,hate rude but the day you choose support bjp will quit supporting bjp and lose faith modi filthy animal like you would never support personparty unless theres something terribly wrong with himtum allah vasta dont ever even jest say support modi
everything will gone missing this country including modi degree,-1,everything will gone missing this country including modi degree
all credit should shri modi jee hope vishakha will pardon for this silly joke ,-1,all credit should shri modi jee hope vishakha will pardon for this silly joke
needs statesmanship daynight preparation and lots courage take such decision bunch people used question narendra modis foreign visits now they dont because has started fetching results,-1,needs statesmanship daynight preparation and lots courage take such decision bunch people used question narendra modis foreign visits now they dont because has started fetching results
god forbid they actually shot down chinese satellite target practice jinping will have modis rse sling,-1,god forbid they actually shot down chinese satellite target practice jinping will have modis rse sling
our identity threatened demonised and vilified daily bunch politicians tap into this ugly part our society got trump got modi got mentor and his slave freeing this ugliness its challenge try figure out how continue the inclusion,-1,our identity threatened demonised and vilified daily bunch politicians tap into this ugly part our society got trump got modi got mentor and his slave freeing this ugliness its challenge try figure out how continue the inclusion
not every journalist paidone modi sorry bro there are others that expose the true face modi they not part godi media relax dude,-1,not every journalist paidone modi sorry bro there are others that expose the true face modi they not part godi media relax dude
the worst still come abdullah pray modi doesn’ come next term ,-1,the worst still come abdullah pray modi doesn’ come next term
power chor chowkidar lakh every acnt dont crore employment every year dont down the petrol price dont farmer loan waiver dont rafale ambani for neerav modi vijay mallya looted bank for mota bhai ,-1,power chor chowkidar lakh every acnt dont crore employment every year dont down the petrol price dont farmer loan waiver dont rafale ambani for neerav modi vijay mallya looted bank for mota bhai
very very wrong both counts foreign security policy whn comes pak had played role 2014 play even bigger role fact modi contrasting himself opposition who collectively parroting pak line also modi not limted pak card only,-1,very very wrong both counts foreign security policy whn comes pak had played role 2014 play even bigger role fact modi contrasting himself opposition who collectively parroting pak line also modi not limted pak card only
wait for bakra write big article how upper caste brahmical missiles destroyed minority satellite under modi with added chest beating that the satellite father was poor head master ,-1,wait for bakra write big article how upper caste brahmical missiles destroyed minority satellite under modi with added chest beating that the satellite father was poor head master
these same people dumped useless the idea jan dhan accounts now they cannot think any scheme without using accounts opened modi ,-1,these same people dumped useless the idea jan dhan accounts now they cannot think any scheme without using accounts opened modi
india not favourite politics modi come some point india 100 per modi this election campaign cant blame congress loses much confined speeches ravi shinde,-1,india not favourite politics modi come some point india 100 per modi this election campaign cant blame congress loses much confined speeches ravi shinde
modis india gives people the chance shine not for their talents sit dusty cupboard the planning commission,-1,modis india gives people the chance shine not for their talents sit dusty cupboard the planning commission
"that they will consider this video
they will come with new video where some relatives threw plastic the road the past just showcase that even modis handpicked leaders dont abide the swachchh bharat has failed",-1,that they will consider this video they will come with new video where some relatives threw plastic the road the past just showcase that even modis handpicked leaders dont abide the swachchh bharat has failed
"giving bangalore south lok sabha ticket year old modi has fired the imagination the youth you work hard for the nation and next ticket can yours
",-1,giving bangalore south lok sabha ticket year old modi has fired the imagination the youth you work hard for the nation and next ticket can yours
wait for modis message wish may related indochina loc dispute because china has finished 30000 china maps which explained arunachal pradesh the part india this step may have big hidden fact,-1,wait for modis message wish may related indochina loc dispute because china has finished 30000 china maps which explained arunachal pradesh the part india this step may have big hidden fact
modi’ father played role his conception quote unquote hindustan times this urdu news paper just republishing wheat has already been reported second line translated modi son immoral woman refuses budge down from war mongering,-1,modi’ father played role his conception quote unquote hindustan times this urdu news paper just republishing wheat has already been reported second line translated modi son immoral woman refuses budge down from war mongering
"rich getting richer poor getting killed modi state modi raj
sting operation was truth whole demonetisation money was exchanged gujarat
",-1,rich getting richer poor getting killed modi state modi raj sting operation was truth whole demonetisation money was exchanged gujarat
haha think your general knowledge very poor than why foigren country didnt allow modi before years back visit any country becoz they seem him terrorist and that time was and not noly modi your yogi present time not able any countr,-1,haha think your general knowledge very poor than why foigren country didnt allow modi before years back visit any country becoz they seem him terrorist and that time was and not noly modi your yogi present time not able any countr
there any one who can ask modi can you tell plz the name those scientists that team who did cause modi has interest know the names cause wants take all credits alone and poor bhakts thinking modi akele naale gas maar giraya,-1,there any one who can ask modi can you tell plz the name those scientists that team who did cause modi has interest know the names cause wants take all credits alone and poor bhakts thinking modi akele naale gas maar giraya
"media game❔❓
afraid modi❔❓
hungry over corruption ❔❓ ",-1,media game❔❓ afraid modi❔❓ hungry over corruption ❔❓
unbelievable that the allow mass propaganda film released during the just puppet the emperors hands ,-1,unbelievable that the allow mass propaganda film released during the just puppet the emperors hands
raghuram rajan alok verma were congressi moles modi govt they wasted lot time modiji,-1,raghuram rajan alok verma were congressi moles modi govt they wasted lot time modiji
only the missile missed the target this very sob would say was because modi would say the leader should take the blame for the failure was policy failure and crap yes the credit goes modi let burn his rear happy,-1,only the missile missed the target this very sob would say was because modi would say the leader should take the blame for the failure was policy failure and crap yes the credit goes modi let burn his rear happy
boss was critizing this not favor modi may you mis understood tweet was critizing tweet not appreciating tweet really not like this govt,-1,boss was critizing this not favor modi may you mis understood tweet was critizing tweet not appreciating tweet really not like this govt
modis fear has made opponents and traitors confused and redendend,-1,modis fear has made opponents and traitors confused and redendend
the congress claims that the government mismanaged the economy which suffered due prime minister narendra modi’ “reckless” decisions ,-1,the congress claims that the government mismanaged the economy which suffered due prime minister narendra modi’ “reckless” decisions
biggest fake stories manufacturing fake stories and jokes political personalities for disreputation companies ceo modi soniya quite expected from him such performance doing his job check maunsingh pappu are his creation himself great feku,-1,biggest fake stories manufacturing fake stories and jokes political personalities for disreputation companies ceo modi soniya quite expected from him such performance doing his job check maunsingh pappu are his creation himself great feku
agreed dnt required skills after completion degree modi hasnt applied job which scstbrahminmuslimsilkh any1 can including dont know how modi became strange btw movie gonna released few days they may tel dat watch ,-1,agreed dnt required skills after completion degree modi hasnt applied job which scstbrahminmuslimsilkh any1 can including dont know how modi became strange btw movie gonna released few days they may tel dat watch
curious know what this historian eats and drinks daytime may not like one man but understand technical achievements drdo and isro appreciate modi that these guys are exposing themselves will recorded history,-1,curious know what this historian eats and drinks daytime may not like one man but understand technical achievements drdo and isro appreciate modi that these guys are exposing themselves will recorded history
"jail for weeks now
next time nirav modis bail denied his bags get prepared sent india
modi will the way for his 2nd term
",-1,jail for weeks now next time nirav modis bail denied his bags get prepared sent india modi will the way for his 2nd term
people who say muslims hate modi ,-1,people who say muslims hate modi
karma sympathy for those who spread hatred the country will not surprised karma haunts modi the same way,-1,karma sympathy for those who spread hatred the country will not surprised karma haunts modi the same way
looters upa gave phonepe loans unasked now modi made rules recover the loans dishonest mms upa rrr morons jumping now ,-1,looters upa gave phonepe loans unasked now modi made rules recover the loans dishonest mms upa rrr morons jumping now
